{
# 公众号配置
# 公众号appId
"app_id": "wx590596458e0be767",
# 公众号appSecret
"app_secret": "903c9def03571c4b145b6a3d3fcb3a86",
# 模板消息id
"template_id": "qEfG451EOdH1cjKBYuM-UcT8yLLO2UXHiR2LzV47Nqs",
# 接收公众号消息的微信号，如果有多个，需要在[]里用英文逗号间隔，例如["wx1", "wx2"]
"user": ["oDKgm6CjoFO0XF2tv63yzpQ5924s"],
 
# 信息配置
# 和风天气apikey
"weather_key": "5c7f9e8307a341b2a2420d89d2c49ae9",
# 所在地区，可为省，城市，区，县，同时支持国外城市，例如伦敦
"region": "雨花区",
# 金句中文，如果设置了，则会显示这里的，如果为空，默认会读取金山的每日金句
"note_ch": "",
# 金句英文
"note_en": ""
}
